ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q24,Q12,Q20,Q21_1,Q19_1,Q7,Q8,Q9,Q16
129,1,1,2,2,5,4,3,1,4,3,3,5,4,3,4,2,7,4,1,2,5,3,4,4,1,It was a video where different people talked about why they do the charity event run for autism,4,1,,1,13,2,227185
130,1,1,2,2,5,5,2,4,3,5,4,6,3,3,4,3,7,6,4,2,6,2,6,1,1,Showed an annual race that raises money for autism research. Has raised 7.5 million to date. Interviewed participants and the person who started the race. ,3,,5,2,12,4,814453
131,1,1,2,2,1,2,4,2,1,2,2,1,4,2,1,3,5,2,1,1,3,1,1,4,1,Many of them shared about peoples they are know who suffered Autism. And they need to help against it.,3,3,,1,1,3,579799
132,1,1,2,2,2,2,2,3,2,2,3,2,1,2,5,4,6,2,6,2,6,2,1,6,1,This video was about the run for autism charity event. Participants were interviewed and gave personal stories.,4,0,,1,2,2,781726
133,1,1,1,2,4,4,3,2,5,6,2,5,6,5,3,2,7,2,4,1,6,1,3,3,1,A bunch of people whose lives have been touched in some way by autism talk about running to raise money for the cause.,4,,1,1,2,2,483968
134,1,1,1,1,3,5,7,4,5,7,4,1,2,6,4,4,5,3,4,4,5,1,2,6,1,It's about a charitable run for the benefit of autism research,4,2.5,,2,6,3,106550
135,1,1,1,2,5,3,3,3,3,5,2,1,4,3,2,1,1,1,1,1,2,1,1,1,1,There were parents talking about running and supporting the charity for their kids. Not being awarded but being happy by giving back.,2,,5,1,4,4,437125
136,1,1,1,1,3,2,4,4,4,5,3,4,3,4,2,3,6,3,1,1,6,1,4,3,1,"Several people, each with a loved one on the autism spectrum, speak about the Run for Autism charity and what it means to them. Run for Autism is a charity marathon that has been around for several years and has raised millions of dollars toward autism research.",3,,2.5,2,4,2,605300
137,1,1,2,2,1,1,7,7,3,1,6,3,3,3,4,4,7,4,4,2,3,1,3,5,1,People talking about running for autism.,5,0,,1,2,3,36159
138,1,1,2,2,3,3,4,2,1,3,2,3,7,1,5,2,7,7,6,1,6,2,5,3,1,It was about a run to support an autism group and why the people were running it,4,,1,1,2,1,971323
139,1,2,2,2,5,5,4,2,2,7,3,5,4,2,2,3,3,5,3,4,5,3,5,3,1,Several people giving first hand interview accounts of running a race for an autism charity.,5,,0,1,8,2,246335
140,1,1,2,2,3,3,2,3,3,6,3,3,2,3,5,2,3,3,2,5,4,2,3,5,1,"It was about people running a race for Autism, some had children with it some knew someone who had it. ",4,,1.5,2,5,2,481087
141,1,1,1,2,3,3,4,3,3,4,5,6,3,3,4,3,6,4,5,3,4,2,4,4,1,It showed a bunch of people talking about how they ran to support friends and family members who had autism in order to raise money for the cause.,3,3,,1,11,4,575010
142,1,1,1,2,4,4,6,4,2,6,4,4,2,2,4,4,4,3,5,2,4,2,4,3,1,"The video featured a number of run participants talking about why they take part in the fundraiser for autism.  Most of them were parents of children with autism, a few were autistic or had autistic family members.",4,0,,2,3,2,61244
143,1,1,1,1,5,6,2,3,3,6,3,6,3,2,6,2,6,5,2,2,6,2,5,2,1,Run for autism annual even raises money for autism research. ,3,,2.5,2,11,4,845208
144,1,1,1,2,3,3,2,4,3,3,3,3,3,3,4,4,7,3,7,2,5,3,3,6,1,"People explained their participation in run for autism, the good they feel, and their motivations.",4,1,,1,2,3,806161
145,1,1,1,2,2,2,4,4,3,4,5,3,2,6,5,4,4,3,5,3,3,2,3,2,1,Running for autism is a way to help fund autism research.,5,0,,1,2,3,638834
146,1,1,1,2,2,2,6,6,6,6,6,2,2,6,4,2,2,2,6,2,2,2,2,2,1,iT WAS ABOUT PEOPLE WHO ARE RUNNING A MARATHON FOR AUTISM DUE TO FAMILY MEMBERS BEING AFFECTED BY IT ,5,,0,1,8,3,369283
147,1,1,2,1,3,3,2,3,3,5,2,4,3,3,3,4,5,5,3,4,5,1,5,2,1,The video featured participants talking about their motivations for running the race and helping with the charity.,3,,2,1,11,3,184285
148,1,1,1,2,3,3,6,5,4,6,3,1,2,5,4,3,1,3,5,1,4,2,3,3,1,Run for autism,3,0,,1,6,3,837963
149,1,1,1,1,5,3,2,2,2,5,2,5,5,3,4,3,4,4,3,2,5,4,4,4,1,It was a run for autism.,1,1,,1,4,3,310460
150,1,1,2,2,3,3,3,4,3,4,3,3,4,4,3,4,3,4,3,3,3,3,3,4,1,People running and supporting autism. Many parents run with their kids and try to bring more people. ,4,2,,2,8,4,566771
151,1,1,1,2,5,4,2,3,6,5,2,3,3,3,3,3,3,3,3,3,3,2,5,3,1,The video was about a race to support autism. Most of the runners involved had family with autism and wanted to support them and the cause.,3,,0,1,6,3,421512
152,1,1,2,2,2,5,7,2,4,1,2,2,1,7,7,4,7,1,7,2,7,1,1,7,1,It was about a run to raise money for autism,5,0,,1,6,3,324718
153,1,1,2,2,7,5,5,4,1,7,2,4,1,1,3,1,1,1,2,1,2,1,1,1,1,it was about a mother running for autism for her daughter,3,,5,1,1,2,559593
154,1,1,1,2,3,3,2,3,5,4,3,2,3,5,4,3,3,3,5,2,3,2,5,3,1,They talk about a running event for autism,3,,0,1,6,3,798490
155,1,1,1,2,2,3,6,3,3,2,3,3,3,3,3,5,6,3,6,6,5,2,3,6,1,The video was about an autism run. People gave their reasons for running.,4,1,,1,4,3,917378
156,1,1,1,2,2,4,4,3,2,2,2,4,3,3,3,4,3,2,4,3,2,4,4,2,1, More about autism and it all about running to collect fund for autism for autism organization research.,1,,2,1,5,4,932826
157,1,1,2,1,3,3,1,2,1,5,3,2,1,2,2,2,3,3,2,2,1,1,1,2,1,discusses peoples stories and the autism research organization,3,2.5,,1,2,2,A9WGDBDXUNLOD
158,1,1,1,1,5,5,2,2,3,5,2,4,3,3,2,2,4,3,3,3,6,2,3,3,1,it's a run in support of autistic individuals with testimonials from family members that were running.,2,2.5,,2,2,2,994100
159,1,1,1,2,3,4,4,5,4,4,5,3,4,6,5,4,5,2,4,3,4,4,2,4,1,It was basically about people talking about running for their family or friends for autism.,4,,0,1,10,3,847088
160,1,1,1,2,1,1,7,4,7,1,5,2,1,6,6,3,7,4,4,4,4,3,3,7,1,Since 2003 Run For Autism has helped millions of runners earn money for autism.,5,0,,2,4,3,337088
161,1,1,1,2,3,6,7,5,6,7,2,3,1,6,4,4,1,2,5,7,1,6,1,5,1,It was people who participate in a charity run to benefit autism saying why they run or who they run for.,4,,0,2,7,3,491808
162,1,1,1,1,7,7,2,3,1,7,2,7,1,1,7,1,4,1,4,4,4,1,1,7,1,It was a great video of why people participate in the OAR run and who they are running for!,3,1,,2,4,3,626497
163,1,1,1,2,3,2,3,3,4,4,2,5,4,4,2,3,6,5,3,2,6,2,6,2,1,It consisted of people explaining why they participate in the OAR marathon. ,2,5,,1,2,3,600923
164,1,1,2,2,4,5,7,4,4,5,3,3,4,4,4,5,3,2,4,4,2,1,2,4,1,There were participants in a run for charity.  The cause was autism.  The people talked about why they participated.,5,,0,2,2,3,583190
165,1,1,1,2,4,3,4,2,3,1,3,4,3,3,4,4,6,4,5,2,5,2,4,3,1,The video was about OAR (Organization for Autism Research) and their run for autism raising money for research to study autism spectrum disorders.,2,5,,2,5,3,13303
166,1,1,2,2,3,4,4,3,2,4,2,5,2,2,4,3,6,4,5,1,3,2,3,2,1,"It was a video of various people explaining why they participate in a run for charity for Autism. Most of them had son, daughters, or other relatives affected by it.",4,,0,1,13,3,599696
167,1,1,2,2,6,2,6,5,6,6,5,5,2,6,6,5,2,2,6,6,2,2,3,5,1,People run for autism,5,,0,1,2,3,155174
168,1,1,2,2,5,5,5,3,4,6,2,5,5,4,3,2,5,5,3,3,5,2,4,2,1,The video was about a run for Autism and why people were participating in it.,4,,1,3,1,2,772712
169,1,1,1,2,3,3,7,2,7,7,6,6,3,2,1,1,7,3,2,2,7,1,7,1,1,It was about a charity run for autism.,4,1,,1,2,7,542691
170,1,1,1,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,It is about people running for autism charities.,5,0,,2,11,3,276540
171,1,1,1,2,4,5,4,3,2,7,3,6,7,2,2,4,5,1,2,6,7,1,4,2,1,People running for Autism. ,5,0,,2,7,3,984803
172,1,1,1,2,5,5,2,3,5,7,3,6,1,5,3,2,2,3,6,2,5,2,5,3,1,people running to raise money for autism research,4,,0,2,12,3,458515
173,1,1,1,2,6,4,2,4,2,3,2,5,6,2,4,2,7,6,3,2,6,2,6,3,1,A video about families/people who participate in the autism run to raise money for autism research.,3,2.5,,2,7,3,553358
174,1,1,2,2,1,1,7,7,4,1,4,4,2,4,4,4,4,4,4,1,4,1,4,7,1,About a run for autism.,5,0,,1,2,3,457845
175,1,1,1,1,4,3,5,3,1,5,3,5,6,3,4,3,4,5,3,4,5,4,4,5,1,The video regards a program in which people run to help fundraise research for autism,2,,2.5,2,6,3,499576
176,1,1,1,2,1,1,7,4,4,7,6,2,2,2,4,2,2,1,4,1,1,1,1,1,1,PEOPLE RUNNING FOR AUTISM SINCE THEY ARE AFFECTED BY IT IN SOME WAY OR ANOTHER ,5,,0,1,11,3,444069
177,1,1,1,2,3,3,6,4,3,2,4,3,3,4,5,3,4,3,6,5,3,3,3,7,1,The video was about a charity run for autism.,5,,0,1,2,3,969447
178,1,1,1,1,3,4,3,4,3,3,2,2,1,4,4,5,3,3,5,6,5,5,6,5,1,parents discussing running in a marathon for their autistic children,3,0,,2,8,3,355955
179,1,1,1,1,7,4,3,1,1,1,1,2,6,2,2,1,1,4,2,2,2,1,3,2,1,Its a run for people who have autism to support their cause,1,,2,2,6,4,A1G4QQQTDANOM9
180,1,1,1,2,7,7,1,1,1,7,7,7,7,1,1,1,7,1,1,1,7,1,7,1,1,people running and supporting those with autism as a fundraiser.,4,,0,2,8,2,546621
181,1,1,1,1,4,4,2,4,4,6,4,6,4,6,4,2,4,4,2,2,6,4,6,4,1,Running for autism ,2,1,,1,3,3,938517
182,1,1,2,2,3,2,5,5,6,3,2,3,5,5,3,2,6,2,3,5,5,3,2,6,1,They are running a charity marathon for autism,4,0,,2,2,2,398768
183,1,1,2,1,5,2,6,3,3,4,6,3,5,5,3,4,5,6,2,3,3,4,5,3,1,They did the best they can to help and optimize the situation for others,2,,2,1,3,3,975245
184,1,1,1,2,5,4,5,3,2,4,3,3,2,5,5,3,4,4,3,2,6,5,2,5,1,People volunteer their time to organize and run in a marathon for Autism,3,0,,1,3,3,64068
